"Chat started - Year";"Chat started - Month";"Chats";"Inbound chats";"Outbound chats";"% Chat completion rate"
"2018";"January";"";"";"";""
"2018";"February";"";"";"";""
"2018";"March";"";"";"";""
"2018";"April";"1.00000000000000000000";"1.00000000000000000000";"0.00000000000000000000";"1.00000000000000000000"
"2018";"May";"";"";"";""
"2018";"June";"6.00000000000000000000";"6.00000000000000000000";"0.00000000000000000000";"0.00000000000000000000"
"2018";"July";"2.00000000000000000000";"2.00000000000000000000";"0.00000000000000000000";"0.00000000000000000000"
"2018";"August";"20.00000000000000000000";"20.00000000000000000000";"0.00000000000000000000";"0.25000000000000000000"
"2018";"September";"10.00000000000000000000";"10.00000000000000000000";"0.00000000000000000000";"0.60000000000000000000"
"2018";"October";"248.00000000000000000000";"246.00000000000000000000";"2.00000000000000000000";"0.53629032258064510000"
"2018";"November";"1043.00000000000000000000";"1040.00000000000000000000";"3.00000000000000000000";"0.68072866730584850000"
"2018";"December";"794.00000000000000000000";"787.00000000000000000000";"7.00000000000000000000";"0.62468513853904280000"
"2019";"January";"929.00000000000000000000";"912.00000000000000000000";"17.00000000000000000000";"0.71151776103336920000"
"2019";"February";"733.00000000000000000000";"728.00000000000000000000";"5.00000000000000000000";"0.74215552523874480000"
"2019";"March";"1031.00000000000000000000";"1026.00000000000000000000";"5.00000000000000000000";"0.68865179437439380000"
"2019";"April";"971.00000000000000000000";"966.00000000000000000000";"5.00000000000000000000";"0.70545829042224510000"
"2019";"May";"933.00000000000000000000";"928.00000000000000000000";"5.00000000000000000000";"0.69453376205787790000"
"2019";"June";"842.00000000000000000000";"836.00000000000000000000";"6.00000000000000000000";"0.66745843230403800000"
"2019";"July";"988.00000000000000000000";"986.00000000000000000000";"2.00000000000000000000";"0.71659919028340080000"
"2019";"August";"888.00000000000000000000";"880.00000000000000000000";"8.00000000000000000000";"0.69819819819819820000"
"2019";"September";"1144.00000000000000000000";"1130.00000000000000000000";"14.00000000000000000000";"0.68793706293706290000"
"2019";"October";"1035.00000000000000000000";"1022.00000000000000000000";"13.00000000000000000000";"0.66473429951690820000"
"2019";"November";"901.00000000000000000000";"894.00000000000000000000";"7.00000000000000000000";"0.69922308546059930000"
"2019";"December";"892.00000000000000000000";"890.00000000000000000000";"2.00000000000000000000";"0.72085201793721980000"
"2020";"January";"1165.00000000000000000000";"1152.00000000000000000000";"13.00000000000000000000";"0.69613733905579400000"
"2020";"February";"1177.00000000000000000000";"1166.00000000000000000000";"11.00000000000000000000";"0.67119796091758710000"
"2020";"March";"1173.00000000000000000000";"1162.00000000000000000000";"11.00000000000000000000";"0.71526001705029840000"
"2020";"April";"816.00000000000000000000";"812.00000000000000000000";"4.00000000000000000000";"0.72058823529411760000"
"2020";"May";"823.00000000000000000000";"816.00000000000000000000";"7.00000000000000000000";"0.70352369380315920000"
"2020";"June";"904.00000000000000000000";"897.00000000000000000000";"7.00000000000000000000";"0.65486725663716820000"
"2020";"July";"856.00000000000000000000";"852.00000000000000000000";"4.00000000000000000000";"0.72429906542056080000"
"2020";"August";"2240.00000000000000000000";"2225.00000000000000000000";"15.00000000000000000000";"0.63437500000000000000"
"2020";"September";"3318.00000000000000000000";"3302.00000000000000000000";"16.00000000000000000000";"0.52200120554550930000"
"2020";"October";"2872.00000000000000000000";"2859.00000000000000000000";"13.00000000000000000000";"0.53168523676880220000"
"2020";"November";"5241.00000000000000000000";"5227.00000000000000000000";"14.00000000000000000000";"0.48330471284106086000"
"2020";"December";"6713.00000000000000000000";"6689.00000000000000000000";"24.00000000000000000000";"0.48473111872486220000"
"2021";"January";"4119.00000000000000000000";"4101.00000000000000000000";"18.00000000000000000000";"0.57756737072104880000"
"2021";"February";"3701.00000000000000000000";"3697.00000000000000000000";"4.00000000000000000000";"0.59416373952985680000"
"2021";"March";"4795.00000000000000000000";"4769.00000000000000000000";"26.00000000000000000000";"0.61126173096976020000"
"2021";"April";"2689.00000000000000000000";"2684.00000000000000000000";"5.00000000000000000000";"0.64484938638899210000"
"2021";"May";"1974.00000000000000000000";"1964.00000000000000000000";"10.00000000000000000000";"0.64387031408308000000"
"2021";"June";"4042.00000000000000000000";"4017.00000000000000000000";"25.00000000000000000000";"0.52746165264720430000"
"2021";"July";"4834.00000000000000000000";"4813.00000000000000000000";"21.00000000000000000000";"0.61419114604882090000"
"2021";"August";"4005.00000000000000000000";"3987.00000000000000000000";"18.00000000000000000000";"0.60499375780274660000"
"2021";"September";"4933.00000000000000000000";"4920.00000000000000000000";"13.00000000000000000000";"0.54490168254611790000"
"2021";"October";"3752.00000000000000000000";"3732.00000000000000000000";"20.00000000000000000000";"0.54850746268656710000"
"2021";"November";"3414.00000000000000000000";"3407.00000000000000000000";"7.00000000000000000000";"0.54217926186291740000"
"2021";"December";"4477.00000000000000000000";"4468.00000000000000000000";"9.00000000000000000000";"0.45767254858163947000"
"2022";"January";"2428.00000000000000000000";"2425.00000000000000000000";"3.00000000000000000000";"0.46334431630971995000"
"2022";"February";"1795.00000000000000000000";"1792.00000000000000000000";"3.00000000000000000000";"0.50584958217270190000"
"2022";"March";"1605.00000000000000000000";"1600.00000000000000000000";"5.00000000000000000000";"0.49968847352024920000"
"2022";"April";"1117.00000000000000000000";"1113.00000000000000000000";"4.00000000000000000000";"0.46374216651745750000"
"2022";"May";"";"";"";""
"2022";"June";"";"";"";""
"2022";"July";"";"";"";""
"2022";"August";"";"";"";""
"2022";"September";"";"";"";""
"2022";"October";"";"";"";""
"2022";"November";"";"";"";""
"2022";"December";"";"";"";""
